protein_id,assay_id,phenotype,pair_side,variants,eligible_predictors,pcs_80pct,pcs_90pct,pcs_95pct,effective_rank,policy,spearman,selection_gain_sd,top_recall
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_activity,activity,b,10094,95,6,17,35,6.157890713157465,crossfit_linear_span,0.6933954355610976,0.8391727709629093,0.23267326732673269
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_activity,activity,b,10094,95,6,17,35,6.157890713157465,uniform_panel,0.637405834851613,0.7847413733522366,0.21287128712871287
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_binding,binding,b,3802,95,10,25,41,12.510876943287421,crossfit_best_single,0.5268393101077691,0.4431182938051369,0.19160104986876642
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_binding,binding,b,3802,95,10,25,41,12.510876943287421,crossfit_linear_span,0.686058103176851,0.9099640490079609,0.2755905511811024
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_binding,binding,b,3802,95,10,25,41,12.510876943287421,uniform_panel,0.4192271051789757,0.7523298544255312,0.25196850393700787
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_expression,expression,a,3798,95,10,25,40,12.577720077824301,crossfit_best_single,0.5740218545567307,0.37958297693231396,0.14473684210526316
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_expression,expression,a,3798,95,10,25,40,12.577720077824301,crossfit_linear_span,0.748490147480022,1.1176015147351361,0.34210526315789475
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_expression,expression,a,3798,95,10,25,40,12.577720077824301,uniform_panel,0.518601169587762,0.9065065938580424,0.2657894736842105
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,abundance,a,2695,95,6,16,31,7.068802203201916,crossfit_best_single,0.5915554291148104,0.7739659985585353,0.24814814814814815
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,abundance,a,2695,95,6,16,31,7.068802203201916,crossfit_linear_span,0.6423148857041799,0.8729070125400329,0.25925925925925924
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,abundance,a,2695,95,6,16,31,7.068802203201916,uniform_panel,0.5783893749206264,0.8003781982202461,0.18518518518518517
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_activity,activity,b,697,95,5,14,27,6.2669684851240035,crossfit_best_single,0.42209728448258954,0.24661988663921272,0.17142857142857143
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_activity,activity,b,697,95,5,14,27,6.2669684851240035,crossfit_linear_span,0.4599104103218469,0.31080424752070096,0.2
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_activity,activity,b,697,95,5,14,27,6.2669684851240035,uniform_panel,0.4349845961594374,0.20540415490060307,0.14285714285714285
