seed,target,model,random_spearman,position_spearman,spearman_gap,random_coverage,position_coverage,coverage_gap
48,log_ec50_prot_Sal25,additive_ridge,0.7646543906347703,0.4384392018354124,0.32621518879935785,0.8020010531858873,0.6166868198307134,0.18531423335517394
49,log_ec50_prot_Sal25,additive_ridge,0.7555101828753235,0.28205860554707385,0.4734515773282496,0.7777777777777778,0.511990407673861,0.26578737010391684
50,log_ec50_prot_Sal25,additive_ridge,0.7699880423828471,0.3180962069653618,0.45189183541748534,0.7989583333333333,0.5972906403940886,0.2016676929392447
51,log_ec50_prot_Sal25,additive_ridge,0.760896443906077,0.35048655687413793,0.4104098870319391,0.7947916666666667,0.6002460024600246,0.1945456642066421
42,log_ec50_prot_Sal25,biophysical_ridge,0.5794226916378786,0.38093005877719044,0.1984926328606882,0.8130595050026329,0.7451923076923077,0.0678671973103252
43,log_ec50_prot_Sal25,biophysical_ridge,0.5842648123212059,0.3297393215761829,0.25452549074502295,0.789362822538178,0.7609467455621302,0.028416076976047866
44,log_ec50_prot_Sal25,biophysical_ridge,0.5879632067749214,0.3894825497030533,0.19848065707186813,0.8104265402843602,0.7745454545454545,0.035881085738905694
45,log_ec50_prot_Sal25,biophysical_ridge,0.5871894104089471,0.44667672635112354,0.14051268405782358,0.7998946814112691,0.7739975698663426,0.025897111544926465
46,log_ec50_prot_Sal25,biophysical_ridge,0.5699807466919136,0.3384673106503047,0.23151343604160884,0.7830437072143234,0.7099056603773585,0.0731380468369649
47,log_ec50_prot_Sal25,biophysical_ridge,0.569911420764467,0.4497825318881165,0.12012888887635048,0.7904160084254871,0.809801633605601,-0.019385625180113886
48,log_ec50_prot_Sal25,biophysical_ridge,0.5733124302423515,0.40026640620097087,0.1730460240413806,0.7951553449183781,0.781136638452237,0.014018706466141118
49,log_ec50_prot_Sal25,biophysical_ridge,0.5665420051109098,0.22961500285290526,0.33692700225800454,0.7619799894681412,0.6798561151079137,0.0821238743602275
50,log_ec50_prot_Sal25,biophysical_ridge,0.5795875843412828,0.32342979665180804,0.2561577876894747,0.7807291666666667,0.7746305418719212,0.006098624794745544
51,log_ec50_prot_Sal25,biophysical_ridge,0.5925135542766032,0.32039815829102,0.27211539598558326,0.7932291666666667,0.7552275522755227,0.03800161439114391
42,log_ec50_prot_Sal25,mean,0.0,0.0,0.0,0.8230647709320695,0.7572115384615384,0.0658532324705311
43,log_ec50_prot_Sal25,mean,0.0,0.0,0.0,0.7977883096366508,0.7124260355029586,0.08536227413369224
44,log_ec50_prot_Sal25,mean,0.0,0.0,0.0,0.7767245918904687,0.6981818181818182,0.07854277370865048
45,log_ec50_prot_Sal25,mean,0.0,0.0,0.0,0.794102159031069,0.7812879708383961,0.012814188192672882
46,log_ec50_prot_Sal25,mean,0.0,0.0,0.0,0.7761979989468141,0.6957547169811321,0.08044328196568196
47,log_ec50_prot_Sal25,mean,0.0,0.0,0.0,0.8009478672985783,0.7654609101516919,0.03548695714688632
48,log_ec50_prot_Sal25,mean,0.0,0.0,0.0,0.8104265402843602,0.7363966142684402,0.07402992601592007
