assay_id,uniprot_id,taxon,coarse_selection_type,model,n_seeds,random_spearman,position_spearman,spearman_gap,random_observed_coverage,position_observed_coverage,observed_coverage_gap,random_normalized_rmse,position_normalized_rmse,normalized_rmse_gap
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,additive_ridge,10,0.5364191761625448,0.33603823123791987,0.20038094492462485,0.7963987473903966,0.761490359562272,0.034908387828124644,0.9447983325963085,1.1239160419037546,-0.17911770930744614
SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,Prokaryote,Stability,additive_ridge,10,0.6918724419221189,0.4940446725215608,0.19782776940055813,0.8032921810699589,0.6926967006705221,0.1105954803994367,0.7028657751828489,0.9041956319551889,-0.20132985677234014
SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,Prokaryote,Stability,additive_ridge,10,0.7285156292279551,0.5325768768283663,0.1959387523995888,0.7758454106280193,0.684384960080788,0.0914604505472314,0.6749794537544315,0.8335923901114599,-0.1586129363570285
PABP_YEAST_Melamed_2013,PABP_YEAST,Eukaryote,OrganismalFitness,additive_ridge,10,0.7323644954923817,0.537197161803693,0.19516733368868866,0.8109243697478992,0.7110446881701104,0.09987968157778875,0.7109887786285968,0.815452044116985,-0.10446326548838836
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,Stability,additive_ridge,10,0.7066315148445603,0.5148470511539969,0.19178446369056334,0.788929889298893,0.685788386645493,0.10314150265339997,0.664940328557236,0.8041536545037017,-0.13921332594646577
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Prokaryote,Activity,additive_ridge,10,0.3173003633914472,0.12716124978705642,0.19013911360439076,0.8075555555555555,0.7580069827756454,0.04954857277991016,0.8997599097339085,0.9858783754509824,-0.08611846571707399
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.6214365382620411,0.4332130965053335,0.18822344175670763,0.7955074207781789,0.7169144234632382,0.07859299731494065,0.7648078257853077,0.912298268154623,-0.14749044236931524
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,Human,Binding,additive_ridge,10,0.4364063429965464,0.24867803968818297,0.18772830330836346,0.7907166123778502,0.7624291497975708,0.02828746258027933,0.8992965580170719,0.9668406949009938,-0.0675441368839219
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Eukaryote,Stability,additive_ridge,10,0.6517734845134224,0.46537121788085223,0.18640226663257034,0.8045751633986928,0.6554442882867583,0.14913087511193454,0.7011445437568367,0.9341923624846034,-0.23304781872776675
RNC_ECOLI_Weeks_2023,RNC_ECOLI,Prokaryote,Activity,additive_ridge,10,0.6055957659336622,0.4199195837558237,0.18567618217783838,0.8003504672897197,0.7017156536888767,0.09863481360084299,0.7434702688507956,0.9251249001573665,-0.1816546313065709
SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,Prokaryote,Stability,additive_ridge,10,0.715557797705457,0.5346662069445305,0.18089159076092648,0.8,0.7042687514114652,0.09573124858853474,0.6900035796498984,0.8457010555431779,-0.15569747589327942
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Human,Stability,additive_ridge,10,0.6160205049405366,0.43678307471933575,0.1792374302212009,0.81203007518797,0.6607691744832823,0.15126090070468767,0.7163311052896565,1.014325203312714,-0.29799409802305743
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,Human,Expression,additive_ridge,10,0.5140358329999926,0.3368728070259366,0.17716302597405595,0.8006849315068493,0.753023544737759,0.0476613867690903,0.8327518471226864,0.9332265300008349,-0.10047468287814851
RDRP_I33A0_Li_2023,RDRP_I33A0,Virus,OrganismalFitness,additive_ridge,10,0.6498332011527573,0.47377080928806914,0.17606239186468825,0.8,0.7280290425201351,0.07197095747986486,0.7634126483762513,0.8705694565630806,-0.10715680818682931
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,Prokaryote,Stability,additive_ridge,10,0.7518314972487925,0.5767487468859172,0.1750827503628753,0.7858778625954199,0.6763244317690779,0.10955343082634199,0.6178073311745491,0.7489930206429206,-0.1311856894683715
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,Prokaryote,Stability,additive_ridge,10,0.7149467388655523,0.5414394736536197,0.17350726521193258,0.8114754098360656,0.6911165630822774,0.1203588467537882,0.7186573110892696,0.8971181060420585,-0.17846079495278888
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Eukaryote,Stability,additive_ridge,10,0.6792657571754444,0.5065306118191205,0.1727351453563238,0.825,0.7032752432556286,0.1217247567443713,0.6475900691230867,0.7998244410520515,-0.15223437192896477
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Human,Activity,additive_ridge,10,0.4807755719450637,0.30812927672302365,0.17264629522204009,0.8066878980891721,0.7678536686270767,0.038834229462095374,0.8878614965138955,0.9106831065832995,-0.022821610069404107
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Human,Stability,additive_ridge,10,0.6635623167802459,0.49146135413835834,0.1721009626418876,0.8139705882352942,0.717041653865154,0.09692893437014014,0.6691538607478339,0.8623564590082655,-0.19320259826043162
P53_HUMAN_Kotler_2018,P53_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.5430854603117012,0.3714581703613448,0.17162728995035645,0.8271428571428572,0.7362281199419278,0.09091473720092934,0.842225950028228,0.9384494379131161,-0.09622348788488791
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,Prokaryote,Stability,additive_ridge,10,0.6081732675706071,0.4371660042639517,0.17100726330665544,0.8027131782945738,0.7140319447260072,0.08868123356856651,0.6776877984600085,0.8170193062990169,-0.13933150783900844
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,Human,Stability,additive_ridge,10,0.6743823334250432,0.5091806675155887,0.16520166590945448,0.8051282051282052,0.6769979439416937,0.12813026118651147,0.6784346589121187,0.8552162553162027,-0.17678159640408395
TAT_HV1BR_Fernandes_2016,TAT_HV1BR,Virus,OrganismalFitness,additive_ridge,10,0.5321725109002992,0.36796822975312676,0.16420428114717237,0.8041139240506329,0.7086687306501548,0.09544519340047812,0.8749129820799236,0.9446574003192414,-0.06974441823931762
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,Eukaryote,Stability,additive_ridge,10,0.6773241689140983,0.5271270326027245,0.15019713631137374,0.8075757575757576,0.7286530873910263,0.07892267018473124,0.7463233498757699,0.8700044125409908,-0.12368106266522097
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,Human,Stability,additive_ridge,10,0.7059661590137901,0.557433758136034,0.14853240087775613,0.7799086757990867,0.699617152913732,0.08029152288535465,0.6277461014676209,0.7848428235849629,-0.15709672211734219
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.46970904210286035,0.32192709678005477,0.14778194532280559,0.7904891304347826,0.7452219136561468,0.04526721677863588,0.8892977570893983,0.948205385574847,-0.05890762848544863
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Human,Activity,additive_ridge,10,0.5044186756995933,0.3570505805516467,0.14736809514794666,0.802712815715622,0.7727856590507792,0.029927156664842868,0.8515508067799716,0.8954314545006061,-0.04388064772063451
CBS_HUMAN_Sun_2020,CBS_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.41110407494593126,0.2650617196572321,0.1460423552886992,0.8046398891966758,0.7773882498390006,0.02725163935767525,0.9112155528817688,0.9731898326131283,-0.06197427973135955
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Prokaryote,OrganismalFitness,additive_ridge,10,0.5497670298082428,0.4043171611792137,0.14544986862902903,0.819943820224719,0.7448676193785817,0.07507620084613732,0.8647808770459262,0.9245381742910397,-0.05975729724511332
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Prokaryote,Stability,additive_ridge,10,0.6241964392105943,0.4822272907041881,0.14196914850640624,0.8010309278350516,0.7354182916860332,0.06561263614901831,0.8045037056192322,0.823162147186778,-0.018658441567545904
REV_HV1H2_Fernandes_2016,REV_HV1H2,Virus,OrganismalFitness,additive_ridge,10,0.49285164735442616,0.3538378381831311,0.13901380917129508,0.7974418604651163,0.7480549199084668,0.04938694055664946,0.8377691931530766,0.9230953348051806,-0.08532614165210385
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Eukaryote,Activity,additive_ridge,10,0.5080770401866113,0.36937358451331426,0.13870345567329703,0.8017094017094017,0.7566753861833628,0.04503401552603894,0.8680241637977419,0.9166678762559369,-0.04864371245819512
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,Human,Activity,additive_ridge,10,0.45457505398149334,0.31648057214640424,0.13809448183508904,0.7921792618629174,0.7441583855436058,0.04802087631931157,0.9051571925877744,0.9642646931344888,-0.05910750054671442
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Virus,Stability,additive_ridge,10,0.7153023878092474,0.5806557107431265,0.1346466770661208,0.8142857142857143,0.7078342019162175,0.10645151236949672,0.6717755547159554,0.8272843936289531,-0.15550883891299777
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Prokaryote,Activity,additive_ridge,10,0.5525731359689787,0.4179820675489176,0.1345910684200611,0.8023333333333333,0.7749631960199902,0.027370137313343156,0.8148336354282856,0.883648352943174,-0.06881471751488855
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.6303571428571428,0.49702494782943774,0.13333219502770519,0.7991150442477876,0.7919075907590759,0.0072074534887117125,0.7500905621784367,0.8392699285451123,-0.08917936636667548
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,Prokaryote,Stability,additive_ridge,10,0.7321585035687914,0.6040400332498792,0.12811847031891227,0.8108786610878662,0.6684210526315789,0.1424576084562872,0.6226148252967204,0.7971730437419192,-0.17455821844519886
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,Eukaryote,Activity,additive_ridge,10,0.4106531232200495,0.2831253204670502,0.12752780275299927,0.8,0.7397525182970874,0.06024748170291255,0.891891608586965,1.048670411282746,-0.15677880269578104
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,Human,Activity,additive_ridge,10,0.4493238660449343,0.323469895387871,0.12585397065706333,0.8142857142857143,0.7567543591069309,0.05753135517878345,0.8746457026122517,0.9651106784380351,-0.09046497582578347
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.6789105545962151,0.5577277459882415,0.12118280860797355,0.7997330169089291,0.7140350877192982,0.08569792918963083,0.7383620798780561,0.8360291985000998,-0.09766711862204366
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,Prokaryote,Stability,additive_ridge,10,0.6808484524652745,0.5632111371346695,0.11763731533060491,0.8262376237623762,0.6840298132558984,0.14220781050647785,0.6635352586766421,0.827128069618019,-0.16359281094137676
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,Prokaryote,OrganismalFitness,additive_ridge,10,0.5320710111453388,0.4273898006552847,0.10468121049005408,0.7989898989898989,0.8076441120270197,-0.008654213037120695,0.8653443723494512,0.8707601312818687,-0.005415758932417502
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,Human,Activity,additive_ridge,10,0.5390919703351035,0.44428329583688997,0.09480867449821345,0.80390625,0.7490661428609984,0.05484010713900169,0.8663717434573869,0.9049573059315538,-0.038585562474166904
OTC_HUMAN_Lo_2023,OTC_HUMAN,Human,Activity,additive_ridge,10,0.5713489412631205,0.49071743376812726,0.0806315074949933,0.7917197452229299,0.7525986916297951,0.03912105359313482,0.8427642618980012,0.8931116822444629,-0.05034742034646171
PA_I34A1_Wu_2015,PA_I34A1,Virus,OrganismalFitness,additive_ridge,10,0.3800916144876294,0.30606504807523605,0.07402656641239333,0.8002747252747253,0.7961361942599939,0.004138531014731317,0.9446428844489662,0.954249487328377,-0.009606602879410809
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Eukaryote,Activity,additive_ridge,10,0.38026454243530305,0.3105146757503269,0.06974986668497621,0.8110599078341014,0.7965280090687472,0.014531898765354111,0.8779463765891222,0.8805255037965913,-0.0025791272074690676
SERC_HUMAN_Xie_2023,SERC_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.4093836718931555,0.3415663062350209,0.06781736565813457,0.8,0.7693599507673741,0.030640049232625997,0.8851010555075851,0.9201010172801289,-0.03499996177254387
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.3828421768113531,0.31564369027662126,0.06719848653473182,0.8051805337519623,0.7907370986279109,0.014443435124051506,0.9419902882956386,0.93522592238163,0.006764365914008563
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.3047475230163408,0.2399514817143063,0.0647960413020345,0.793939393939394,0.7801888469032541,0.01375054703613987,0.9611046706441888,0.9699794639795082,-0.008874793335319342
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.4532983913615058,0.3955511143464906,0.05774727701501523,0.8194805194805195,0.7867622352787924,0.03271828420172703,0.8588415162548649,0.9054645429151671,-0.046623026660302117
