policy,coverage,retained_tasks,failure_rate,mean_selection_gain_sd,median_selection_gain_sd,mean_selection_regret_sd,median_selection_regret_sd,worst_quintile_mean_gain_sd,confidence_threshold
oracle,0.9,176,0.0,0.7085454406773855,0.6932850066110949,0.0,0.0,0.46820938847959553,0.3982244884098689
oracle,1.0,195,0.0,0.6674223594451618,0.6656482112106865,0.0,0.0,0.3688119396040329,0.0561814921920976
msa_depth,0.1,20,0.0,0.6292551827477771,0.5632173325226668,0.042915731611441445,0.008626653419444033,0.3485284197963125,50901.4
msa_depth,0.2,39,0.0,0.6242084985899926,0.5680584320025812,0.0891917207961287,0.01269362503598287,0.37180857719908733,34681.1
msa_depth,0.30000000000000004,59,0.0,0.6348369628137863,0.6346781431518891,0.0878522115046094,0.01900990251742235,0.37991284521723623,17050.6
msa_depth,0.4,78,0.0,0.638627422095527,0.6093801472598237,0.08600707692495337,0.018089536840148635,0.38521206750512643,10460.9
msa_depth,0.5,98,0.0,0.6464737881281319,0.6298889398323778,0.07626312641122532,0.004023648735522509,0.37256515250993366,6544.3
msa_depth,0.6,117,0.0,0.6437202665703479,0.6422743921328842,0.07056460932697423,0.012519670984430409,0.37784207571086387,3472.5
msa_depth,0.7000000000000001,137,0.0,0.6216263656678258,0.6192756592942499,0.07066153614978896,0.018437156626292972,0.34007874705514746,1584.2
msa_depth,0.8,156,0.0,0.6209135487920782,0.6035099326936525,0.06456384285727736,0.01566619816424558,0.34132419748622433,1017.9
msa_depth,0.9,176,0.0,0.6168193174081492,0.608528218182956,0.06479590791908918,0.01566619816424558,0.3351756108954871,170.2
msa_depth,1.0,195,0.0,0.6045666461323685,0.5944204498614022,0.0628557133127932,0.014504608524957718,0.31994486745358447,2.2
score_dispersion,0.1,20,0.0,0.5237195135849583,0.489588208710632,0.03687127477337439,0.0,0.19683146328009177,0.1188561927778529
score_dispersion,0.2,39,0.0,0.5592038159284338,0.5166365316718061,0.03257561900040891,0.0,0.24332144243729506,0.108339894953951
score_dispersion,0.30000000000000004,59,0.0,0.565993372887319,0.5250501590071296,0.030694323738266666,0.0006310176945278356,0.2864930049528547,0.095210255956002
score_dispersion,0.4,78,0.0,0.5930146060475997,0.5732586558984739,0.03494015104470279,0.0026191760823000565,0.3223014902956063,0.0850253965512726
score_dispersion,0.5,98,0.0,0.5991360799785759,0.589204375056015,0.04181435813409408,0.007036120570554694,0.29398311485369294,0.0773428062968299
score_dispersion,0.6,117,0.0,0.5938231902432531,0.5926079858134138,0.04864399139200242,0.01269362503598287,0.2964041223355041,0.0721118343676121
score_dispersion,0.7000000000000001,137,0.0,0.5899542167930025,0.5858007642986163,0.051181311111131195,0.014096671010905226,0.2969077351940491,0.0643892911898908
score_dispersion,0.8,156,0.0,0.6000988199757319,0.593514217837408,0.054460140533005075,0.01260664801020664,0.3125385448733278,0.0578563610622996
score_dispersion,0.9,176,0.0,0.6025860474765146,0.5981614705027819,0.06256053378606716,0.016910866092042037,0.3145551088915774,0.0478209440634317
score_dispersion,1.0,195,0.0,0.6045666461323685,0.5944204498614022,0.0628557133127932,0.014504608524957718,0.31994486745358447,0.0129904310429433
ensemble_agreement,0.1,20,0.0,0.712845482657783,0.7505500578871018,0.08362704088499522,0.07611903819415533,0.3946534489326492,0.9236110340578276
ensemble_agreement,0.2,39,0.0,0.6726527764904944,0.6842534496044572,0.07041165868982763,0.03674618751475045,0.3977502927243477,0.8954234600123241
ensemble_agreement,0.30000000000000004,59,0.0,0.6714894390282291,0.6842534496044572,0.06107301678976241,0.02328864080761417,0.38694572691090673,0.878834006371662
ensemble_agreement,0.4,78,0.0,0.6378736675745978,0.6341590484120521,0.062466786432705264,0.03138533999859783,0.35619593801072114,0.8677656474244051
ensemble_agreement,0.5,98,0.0,0.6464968387229202,0.654758975356504,0.06411645534199244,0.02509977798611257,0.37352233270920526,0.8502008135436282
ensemble_agreement,0.6,117,0.0,0.6423658121238066,0.6422743921328842,0.06209427363982125,0.030617263350990687,0.3685954080075149,0.8392227087627823
ensemble_agreement,0.7000000000000001,137,0.0,0.6271795561935987,0.6199756830413491,0.06249323431650111,0.03111323360812107,0.3489768945839576,0.8168682670952723
ensemble_agreement,0.8,156,0.0,0.6194896123094725,0.6194137323549562,0.062013825789033236,0.02509977798611257,0.3428033541089383,0.771261843278782
ensemble_agreement,0.9,176,0.0,0.614034004265872,0.6086069383979524,0.06247242804049735,0.017969934556667566,0.3329261209747238,0.6677219823768462
ensemble_agreement,1.0,195,0.0,0.6045666461323685,0.5944204498614022,0.0628557133127932,0.014504608524957718,0.31994486745358447,0.5512837694420035
