assay_id,uniprot_id,taxon,coarse_selection_type,model,score_column,modality,evaluation_type,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Human,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.15657412053409303,10.45897887786625,9.79353734110988,-173.3333949398229,0.1,0.0916030534351145,-0.09603347940816288,0.27682406214592575,0.38294567690083153,1301
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.41270747963447,8.43962497374064,7.7004797230340065,-62.4089355635247,0.1,0.36259541984732824,-1.4756671992937211,1.0211081464498868,0.23758821829907484,15711
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.24269475339851354,8.259039840297685,7.317172297818581,-8.911576056602616,0.1,0.2964497041420118,-2.513341478385847,0.690676832711992,0.0,16897
POLG_HCVJF_Qi_2014,POLG_HCVJF,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.4964315590704524,11.170428587488809,10.749123380643503,-867.0679523921083,0.1,0.2822085889570552,-0.3382688353496932,1.0467384360644505,0.3190167924452967,1630
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Virus,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.11998669304496624,1.4631083117838641,1.1450507995129209,-0.6726297656619848,0.1,0.16,-0.7776426848643052,0.23276164445607783,0.0,995
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Human,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.41938691632138697,12.356126502318874,11.706126040590735,-22.99245989913164,0.1,0.23173277661795408,1.639446764091858,0.8517269095602897,0.0,9576
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,Human,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.503425614294819,12.615697694071432,11.82495933546997,-1812.3116740768878,0.1,0.1850443599493029,0.1882414030418251,0.6572017015786769,1.2488971635456978,7889
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,Human,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.19379288630927186,13.539269542836873,13.333269474594932,-260.3952540892021,0.1,0.1282051282051282,-0.07413107092401801,0.5377026166595292,0.2895302229043684,1163
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,Human,Expression,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.5105993878665931,12.880411331477806,12.258059071950083,-1066.3836050655175,0.1,0.1678082191780822,0.9789570269770971,0.7241678321711631,0.01434372319662936,8756
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,Prokaryote,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.2993467849836335,7.99802762360797,7.243840777883512,-142.99600757623222,0.1,0.08196721311475409,0.03870661964147655,0.5161111713788238,1.8688972300070084,1219
