assay_id,uniprot_id,taxon,coarse_selection_type,seed,fold,split,model,calibration_method,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,normalized_mean_interval_width,fit_rows,calibration_rows,test_rows,excluded_rows,exact_variant_overlap,shared_position_count
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,Human,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.21509247848060148,0.9804382380477322,0.746625630681504,0.010136106470286177,0.1,0.08108108108108109,-0.3028661580810811,0.3755885851049683,0.2395147783838971,0.9728997289972899,6.50851553302345,6.859160829806739,0.9743589743589745,1.0,0.16666666666666666,65,7.494855405864924,1174,294,369,0,0,0
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,Human,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.1769803293495187,0.9567333836107673,0.7819608530189053,-0.3998296384571165,0.1,0.10810810810810811,-0.19404615067567568,0.3548337480512793,0.5301944835640691,1.0,9.723007653618684,10.059809333917773,1.0,1.0,1.0,65,10.728081834124788,1177,295,365,0,0,0
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Virus,OrganismalFitness,42,0,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.1681316359730163,1.335081708764807,1.0183983861118011,-0.6468761478744407,0.1,0.11059907834101383,-1.0319470257454313,0.33197681661172945,0.0,0.9963065558633426,12.254016503082111,12.930370096613286,0.9963065558633426,1.0,0.7894736842105263,114,12.372398202625952,6870,1718,2166,0,0,0
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Virus,OrganismalFitness,43,1,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.30645226660238495,1.0319990283833496,0.8201711666038513,-0.07224813411564646,0.1,0.2186046511627907,-1.0820903697583364,0.5413513117111618,1.0824851133631557,0.9860270144387517,9.127987084732936,9.631863401933387,0.9860270144387518,1.0,0.5789473684210527,113,9.07885633746125,6885,1722,2147,0,0,0
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Virus,OrganismalFitness,44,2,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.2893206060785792,1.215022213554084,1.003548540577239,-0.4444183055825608,0.1,0.11162790697674418,-1.5599014768905668,0.2603178346214984,1.3452616500792316,0.9860270144387517,8.819333230880098,9.306171468849564,0.9860270144387517,1.0,0.3157894736842105,113,8.873051913926705,6885,1722,2147,0,0,0
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Virus,OrganismalFitness,45,3,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.30194906877912303,1.2255350615720144,0.994552396054677,-0.805991140012573,0.1,0.14883720930232558,-1.239695548767483,0.5270137386953885,0.3065693619801694,0.9934792734047508,9.056606189331722,9.55654219172242,0.9934792734047507,1.0,0.631578947368421,113,8.842968050940348,6885,1722,2147,0,0,0
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Virus,OrganismalFitness,46,4,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.11484482268645538,1.8089893415934069,1.453260101465053,-2.5276047425522647,0.1,0.11627906976744186,-0.8209720792928425,0.5026268755773764,0.20002842754994166,0.9850954820680019,12.43429732226016,13.120200239456775,0.9850954820680018,1.0,0.0,113,12.360035801512028,6885,1722,2147,0,0,0
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,OrganismalFitness,42,0,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.1075499960961091,0.38345271906616923,0.29454142227420516,-0.12157548671334206,0.1,0.07894736842105263,0.7847315389473684,0.1159200988007441,0.09754410011077834,0.9919137466307277,3.4452437748820195,3.6981926034581782,0.9923400673400674,0.9944444444444445,0.9090909090909091,30,9.495793083524449,1153,289,371,0,0,0
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,OrganismalFitness,43,1,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.05285836284767974,0.3839525034992118,0.3089639640826791,-0.18046927812954872,0.1,0.10526315789473684,0.7911260859210527,0.028060572365778413,0.1278604862405225,0.9842105263157894,2.5632939602418983,2.5856738059855964,0.9860233918128656,0.9947368421052631,0.8,30,6.938005919065238,1146,287,380,0,0,0
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,OrganismalFitness,44,2,contiguous_position,esm2_residue_ridge_probe,position_distance_scaled,0.8,0.1619443663824539,0.36375211078070413,0.2910208752079357,0.014393733844324408,0.1,0.10256410256410256,0.8220609344615385,0.19273967501673728,0.11638584350569221,0.9922879177377892,2.855445801077563,2.888359953068115,0.9876984126984126,1.0,0.7142857142857143,30,7.942359498422444,1139,285,389,0,0,0
