fold,assay_id,uniprot_id,model,calibration_method,evaluation_type,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,test_rows,fit_proteins,calibration_proteins,test_proteins
4,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.14316162559111045,0.30443043671642034,0.25127337756038165,-0.11213580172800675,0.1,0.06,0.53449,0.11774487277098365,0.12124361715164525,0.718,0.6791480316911754,0.6857028017397996,0.7021207390059848,0.25,0.0,183,1000,108,27,34
4,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.5292081463833953,0.2503973673787646,0.2036919664334517,0.24761314853055627,0.1,0.15,0.70911,0.7226465992572773,0.02424872343032905,0.836,0.6792643552711041,0.6857028017397997,0.8346474108769191,0.4057142857142857,0.0,183,1000,108,27,34
4,REV_HV1H2_Fernandes_2016,REV_HV1H2,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.28085642885642886,0.2786545335294004,0.2383823403012444,0.0682188795410269,0.1,0.1,0.60127,0.3490776942963224,0.01732051673594932,0.748,0.6789887088763092,0.6857028017397997,0.7477876106194692,0.5555555555555556,0.1111111111111111,113,1000,108,27,34
4,RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.6074619149148877,0.23432710864175785,0.18680204660597632,0.3410889721222953,0.1,0.26804123711340205,0.7805900439394423,0.9702054789064127,0.0,0.8699690402476781,0.6801446782054241,0.687273469470473,0.8720508074188063,0.7092436974789916,0.15789473684210525,55,969,108,27,34
4,SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.645965527895311,0.22798947221086896,0.1799507878495292,0.3762482538117736,0.1,0.10294117647058823,0.72084813306766,0.7624903165409679,0.11223905476190965,0.8674521354933726,0.6803932855745604,0.6857028017397997,0.8639650464119726,0.5793859649122808,0.35714285714285715,42,679,108,27,34
4,SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.5907075267075268,0.23380074556073802,0.1894609579994277,0.34404588054879714,0.1,0.3,0.7043700000000002,0.7062267493915978,0.0,0.859,0.6734052450100546,0.6765643079204144,0.8551645987342306,0.5634920634920635,0.23529411764705882,56,1000,108,27,34
4,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.5528585528585529,0.2469016710294648,0.19072305016716093,0.26847404658834184,0.1,0.27,0.75374,0.8772495316423605,0.006928206694379728,0.867,0.6800839745630876,0.687273469470473,0.8735613974737324,0.6842105263157895,0.05263157894736842,57,1000,108,27,34
4,SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.7332032292032292,0.19818985103963724,0.15721468897033333,0.5286489239875609,0.1,0.22,0.7698200000000002,0.9329523134651743,0.03117693012470878,0.905,0.6812032568517202,0.687273469470473,0.9055525941719971,0.6571428571428571,0.21428571428571427,67,1000,108,27,34
4,TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.7729264129264131,0.17873088813483706,0.13886033030178987,0.6166628521812405,0.1,0.25,0.7620699999999999,0.9061055125244519,0.03117693012470878,0.936,0.6792631498564856,0.6857028017397997,0.9361914257228315,0.8117647058823529,0.0,59,1000,108,27,34
4,UBC9_HUMAN_Weile_2017,UBC9_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.5468346188346188,0.24864036531519668,0.207735327457105,0.2581348829659894,0.1,0.16,0.71512,0.7434658603738882,0.003464103347189864,0.804,0.6810050538130554,0.687273469470473,0.8010236578707917,0.5,0.0,157,1000,108,27,34
4,UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.4496886225630335,0.2613435338122228,0.2146479065132514,0.18039284140377698,0.1,0.07777777777777778,0.653930292918057,0.5313041332319071,0.1040387641527486,0.7942157953281423,0.6757990407145453,0.6857028017397995,0.8129482717718013,0.5071428571428572,0.3333333333333333,102,899,108,27,34
4,VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.7944210776519303,0.19914033421336527,0.16724127102178835,0.5241166170900764,0.1,0.2191780821917808,0.7836639572557268,0.9802460658394557,0.01916517249582323,0.9280774550484094,0.678935272529204,0.6857028017397997,0.927063983488132,0.8222222222222223,0.5,40,723,108,27,34
0,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,cross_protein_histgb,standard_split,held_out_protein,0.8,0.7279221439221439,0.20885437583622177,0.1729867040027489,0.4765576728864196,0.1,0.25,0.7856000000000002,0.9876158642838303,0.003464103347189864,0.893,0.6779826491519093,0.6779826491519094,0.893170426065163,0.5,0.0,266,1000,108,27,34
0,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,cross_protein_histgb,standard_split,held_out_protein,0.8,0.7623312073090749,0.19677280672093117,0.16047356606842206,0.5353648594119802,0.1,0.2682926829268293,0.7654074955383701,0.917286958981153,0.00844903461235098,0.9195121951219513,0.6779826491519094,0.6779826491519094,0.9245694545081934,0.8157894736842106,0.3157894736842105,47,820,108,27,34
