assay_id,uniprot_id,seed,fold,split,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,94,1.3046145550903487,0.8839504811008406,1.896215998649597
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,141,1.2315664611850856,0.8344562473448904,1.9449398303031922
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,188,1.2187394887361913,0.825765244762536,2.5123983438909057
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,45,1.5323994015819498,0.8935747931694604,1.6660518298149107
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,90,1.3673949750198258,0.7973571907708404,1.6660518298149107
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,135,1.3273726095835368,0.7740192953892805,1.6660518298149107
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,179,1.3143855675518845,0.7664462740311825,1.8426954460144043
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,46,1.058572044422202,0.8059589355406294,2.0825013146400453
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,92,1.0631253253884372,0.8094256409954927,2.0825013146400453
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,138,1.0786568483415775,0.8212507876849374,2.0825013146400453
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,183,1.0977144453925554,0.8357605612181617,2.643315010070801
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,86,0.5892965696740373,0.47626325816284,0.7736700252328784
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,171,0.7625945917803802,0.6163208876976536,1.0815865484914122
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,257,0.8829826030407599,0.7136172057779168,1.0815865484914122
