fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,family_id
1,0,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,cross_protein_histgb,mondrian_substitution,0.25,250,0.2215220084255848,0.767375130863289,0.3371648911642155,ssf_a5d49b9502ef
1,0,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.18596753064872043,0.6442107453888656,0.3371648911642155,ssf_e2a3e4f1f860
1,0,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,0.25,250,0.22380824212964626,0.7752953412160164,0.3371648911642155,ssf_1ca89f8f1279
1,0,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,0.25,250,0.18752036791040047,0.6496057002821288,0.3371648911642155,ssf_1ca89f8f1279
1,0,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,0.25,248,0.158412658633746,0.5595204205833834,0.3371648911642155,ssf_1ca89f8f1279
1,0,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,0.25,250,0.1717333104766112,0.5949019356460246,0.3371648911642155,ssf_1ca89f8f1279
1,0,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,cross_protein_histgb,mondrian_substitution,0.25,133,0.24876063248328711,0.861733631137865,0.3371648911642155,ssf_c257cf3223e7
1,0,CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,cross_protein_histgb,mondrian_substitution,0.25,239,0.14757625396930887,0.5112194199972613,0.3371648911642155,ssf_7dd9b66382a6
1,0,FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22651779642744857,0.7846810568023962,0.3371648911642155,ssf_178ecc1910b6
1,0,MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,191,0.18109648997506902,0.627337183626747,0.3371648911642155,ssf_a1eda43852c5
