assay_id,uniprot_id,taxon,coarse_selection_type,split,model,evaluation_type,target_space,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Prokaryote,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,-0.0018860355610456293,1.0143889618900792,0.6921088312432523,-0.02081205249011675,0.1,0.07881773399014778,-0.2920496889728494,-0.06516112530915417,1.7987371072287923,8117
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Human,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6258261919956241,0.7737250517241987,0.6030954989666879,0.40535933126650026,0.1,0.17834394904458598,0.43104322587080685,0.710162580105286,0.659635453644061,1567
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,Human,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6369987173525581,0.8102115071462785,0.6156808088311191,0.3600142887148071,0.1,0.20238095238095238,0.23618320501120507,0.7592446667704417,3.7495179075810556,1680
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Eukaryote,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.7276561640973375,0.6944914611594676,0.526283122103694,0.5415989246744912,0.1,0.373134328358209,0.34875633555867663,0.9365558977410658,0.00934513196012491,1340
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Human,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5698871408481827,0.7173778442853751,0.543159970728961,0.5016573371317508,0.1,0.25735294117647056,-0.1829486889654896,0.539750498254172,0.0,1357
CBS_HUMAN_Sun_2020,CBS_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.40997792027126495,0.9740918010188173,0.8174305243385271,0.11885716032352722,0.1,0.16204986149584488,0.6056084469571941,0.31834126251730366,0.8550770083424509,7217
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Human,Stability,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5721710175897864,0.8257624212649374,0.6423000313596511,0.34393572335556855,0.1,0.30434782608695654,-0.025261094656522588,0.7862052044792395,0.5554768081477206,917
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,Prokaryote,Activity,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.4461933294405402,0.9961713215433666,0.7730532044134354,0.12417407343471432,0.1,0.0847457627118644,-15.101694915254237,0.5045220508088273,0.0,1176
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,Human,Binding,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.39168634538824876,0.9430684852726797,0.6739969693195842,0.14941911542167918,0.1,0.18241042345276873,0.09690418023887079,0.4369401793114691,3.4951296249916406,6137
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,Human,Binding,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.20312929685619854,1.0338218995258588,0.7617203064813556,-0.024181766864185716,0.1,0.14323607427055704,-0.9890742202733477,0.21250216569663363,0.5371235537440581,3761
