fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,feature_set,family_id
1,0,IF1_ECOLI_Kelsic_2016,IF1_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.2043747928901664,0.7079770034555166,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_ab9383c4e9ad
1,0,MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,191,0.1735739362820331,0.6012782707890668,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_a1eda43852c5
1,0,MSH2_HUMAN_Jia_2020,MSH2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22355059664082763,0.7744054576535838,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_48cbc265b524
1,0,MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,cross_protein_histgb,mondrian_substitution,0.25,250,0.17999878882922435,0.6284227096336462,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_9a90786f7320
1,0,POLG_DEN26_Suphatrakul_2023,POLG_DEN26,cross_protein_histgb,mondrian_substitution,0.25,250,0.2202053787561544,0.7628141919068505,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_1d81bb997017
1,0,PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.18531581106836284,0.6419539630121585,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_c26e504ac4d4
1,0,PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19304279064251847,0.6687201772156198,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_40b8ae05fc9a
1,0,R1AB_SARS2_Flynn_2022,R1AB_SARS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.22304567881887266,0.7726532825726915,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_9fc1ecf8307b
1,0,RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,cross_protein_histgb,mondrian_substitution,0.25,194,0.21375299236258619,0.7404627040880003,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_0eef6f01f081
1,0,RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,244,0.1894213837635452,0.6561752665653614,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_bc19e1d23319
1,0,REV_HV1H2_Fernandes_2016,REV_HV1H2,cross_protein_histgb,mondrian_substitution,0.25,250,0.22784789005152958,0.7892886385776511,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_4ddd0adc0328
1,0,RL40A_YEAST_Mavor_2016,RL40A_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.1994395516140174,0.6914474508606703,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_40b8ae05fc9a
1,0,RL40A_YEAST_Roscoe_2013,RL40A_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.20350664016321257,0.7049680333647473,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_40b8ae05fc9a
1,0,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,cross_protein_histgb,mondrian_substitution,0.25,250,0.20694063709943106,0.7168637536457415,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_40b8ae05fc9a
1,0,RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,cross_protein_histgb,mondrian_substitution,0.25,250,0.1427106352484963,0.49436438924390746,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_bcab9ac142f5
1,0,SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1895585303788398,0.6566503474535421,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_5602ca7080fe
