model,calibration_method,repeat,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_ridge,mondrian_substitution,3,169,0.5122467958370551,0.21002986587500352,0.6771173967143649,0.799978643493304,0.796578189565857,0.6683059730333254
cross_protein_ridge,mondrian_substitution,4,169,0.5132438140849961,0.2086370276444993,0.6780046869101777,0.8021356602114069,0.7988711736110141,0.6725961920240962
cross_protein_ridge,standard_split,0,169,0.5130614006225057,0.21195647612425927,0.6874687343556867,0.7947908901527467,0.7908123975935454,0.6632198691904192
cross_protein_ridge,standard_split,1,169,0.5125520491780423,0.20844196095172463,0.6746977203691854,0.7942710322912303,0.7904146901858399,0.6631822097823464
cross_protein_ridge,standard_split,2,169,0.5120549906885136,0.20727701586840433,0.6716687584219386,0.8056146520897098,0.8018086602772935,0.6756634905860269
cross_protein_ridge,standard_split,3,169,0.5122467958370551,0.21002986587500352,0.6771173967143649,0.8011466118538982,0.7974504079668104,0.669396252602034
cross_protein_ridge,standard_split,4,169,0.5132438140849961,0.2086370276444993,0.6780046869101777,0.8032043496838647,0.7995019398691147,0.672836030338344
cross_protein_ridge_mutation_only,mondrian_substitution,0,169,0.3174785207631317,0.14220072430316782,0.44092150854842527,0.7959827236333221,0.7919629799946151,0.7231224141308272
cross_protein_ridge_mutation_only,mondrian_substitution,1,169,0.3180781254846362,0.1439204644151148,0.439002768016294,0.7982994687817427,0.7944002755318,0.7253824722828432
cross_protein_ridge_mutation_only,mondrian_substitution,2,169,0.3168183283211049,0.14149236449059463,0.43842648158939834,0.7997993030737837,0.7960658834835764,0.7269006721998842
cross_protein_ridge_mutation_only,mondrian_substitution,3,169,0.3174110184955272,0.14110776376154718,0.4296103710750964,0.8027667810887377,0.7989708271349043,0.7298580276382006
cross_protein_ridge_mutation_only,mondrian_substitution,4,169,0.31813015860043836,0.14409539149150655,0.4387138027243281,0.8005295296394443,0.7967856641351083,0.7273434469924709
cross_protein_ridge_mutation_only,standard_split,0,169,0.3174785207631317,0.14220072430316782,0.44092150854842527,0.7957243201609189,0.7916302709275949,0.7237979177795063
cross_protein_ridge_mutation_only,standard_split,1,169,0.3180781254846362,0.1439204644151148,0.439002768016294,0.7980680439521259,0.794036097508187,0.7256413597439872
cross_protein_ridge_mutation_only,standard_split,2,169,0.3168183283211049,0.14149236449059463,0.43842648158939834,0.7995717898627783,0.7956270939078307,0.7275680301402524
cross_protein_ridge_mutation_only,standard_split,3,169,0.3174110184955272,0.14110776376154718,0.4296103710750964,0.8023816746241189,0.7984090281312765,0.7301214361001422
cross_protein_ridge_mutation_only,standard_split,4,169,0.31813015860043836,0.14409539149150655,0.4387138027243281,0.7998586389392549,0.7958169523033909,0.7273005122829336
