policy,coverage,retained_tasks,failure_rate,mean_selection_gain_sd,median_selection_gain_sd,mean_selection_regret_sd,median_selection_regret_sd,worst_quintile_mean_gain_sd,confidence_threshold
decision_only,1.0,195,0.005128205128205128,0.6671110451581335,0.6721751199002578,0.100022683208345,0.06250713832781485,0.3314431603194366,0.2623463944009272
uncalibrated,0.1,20,0.0,0.6868205057847715,0.6894278121942896,0.1141708005447178,0.0634659898493734,0.33498194862776254,0.8803661973059472
uncalibrated,0.2,39,0.0,0.7112479401688729,0.7325934287509428,0.08957942848138477,0.06121340184686963,0.36101948575272486,0.8492469868139955
uncalibrated,0.30000000000000004,59,0.0,0.7193768878622339,0.7384778976294535,0.08251312127542874,0.054606880575860384,0.3791358670421278,0.8027779346183292
uncalibrated,0.4,78,0.0,0.7288605470609876,0.7621697954591871,0.07253273239646829,0.049801436280260486,0.39616600760188064,0.7765592522128386
uncalibrated,0.5,98,0.0,0.7130413120425543,0.7355356631901981,0.07127114407421653,0.044973105395279794,0.3792539466925911,0.7321656541351652
uncalibrated,0.6,117,0.008547008547008548,0.7149655076574386,0.7384778976294535,0.07844895878009761,0.04694078669159124,0.36255349364448586,0.6917026711116923
uncalibrated,0.7000000000000001,137,0.0072992700729927005,0.695386994626406,0.7309254598212312,0.08213924442526183,0.04694078669159124,0.3274128772419637,0.6360668637385397
uncalibrated,0.8,156,0.00641025641025641,0.6778370803169932,0.7219289657502113,0.09690285269383865,0.05273621393354949,0.29445018097285924,0.5800338871369187
uncalibrated,0.9,176,0.005681818181818182,0.6690693136702036,0.7169796851470285,0.097885154246925,0.05301988739760388,0.28943114895778765,0.5181073703980534
uncalibrated,1.0,195,0.005128205128205128,0.6656433798882416,0.7101721792811663,0.10149034847823661,0.05817820489269898,0.28812987711076754,0.2630995090193963
elastic_net,0.1,20,0.0,0.752258281462943,0.7817840739694906,0.10350642697993664,0.07438710113339075,0.4672650506489161,0.7449676998403195
elastic_net,0.2,39,0.0,0.7069105361929531,0.7669093321046405,0.09461234935101229,0.0482405094349323,0.39426471122731926,0.7269099067987358
elastic_net,0.30000000000000004,59,0.0,0.7047088564895031,0.7669093321046405,0.10109586906452453,0.06509630293768454,0.41616096381349266,0.7050865142865571
elastic_net,0.4,78,0.0,0.6927700526956414,0.6790181614371775,0.10613109861491167,0.0764942957160285,0.39140318702387145,0.6902572490712329
elastic_net,0.5,98,0.0,0.6913566908074055,0.6744108779660007,0.10945641661973453,0.08577788658258584,0.36633761504718443,0.6671196357346673
elastic_net,0.6,117,0.0,0.6866817162936787,0.6766466360317438,0.10519056174302602,0.06964497203375664,0.3629203999855138,0.6531555025582713
elastic_net,0.7000000000000001,137,0.0,0.674737334709623,0.6721751199002578,0.09853651656554194,0.06395730060444793,0.35155021751921467,0.6308320725398271
elastic_net,0.8,156,0.0,0.6768217237410283,0.6692491470462035,0.09329442634758998,0.06067250765371873,0.3568839074037742,0.6144270867491605
elastic_net,0.9,176,0.005681818181818182,0.6619691275360037,0.656760898856802,0.10520262520365628,0.06322003377039576,0.3397382311797302,0.5720518407204953
elastic_net,1.0,195,0.005128205128205128,0.6622796076843971,0.6577222819876677,0.10485412068208123,0.06395730060444793,0.32742660773382,0.09687041706512245
always_best,0.1,20,0.0,0.6675254996565823,0.6780545664617486,0.07511462021340114,0.04916873110553566,0.2901259398638151,0.0
always_best,0.2,39,0.0,0.6475774699023645,0.6418105907802217,0.07745474940736437,0.045207518358387544,0.2862200250182473,0.0
always_best,0.30000000000000004,59,0.0,0.6494730352090374,0.6502543386674402,0.08463433550403504,0.04648612759881954,0.3170570422138072,0.0
always_best,0.4,78,0.0,0.6353014210887358,0.6321305561808414,0.07995443405598769,0.04584682297860354,0.32510869773409345,0.0
always_best,0.5,98,0.0,0.6591731162588725,0.6678766970448142,0.0807100123860158,0.04795931450318941,0.3292324914994121,0.0
always_best,0.6,117,0.0,0.677867364011227,0.6959369793132222,0.07985906461255837,0.053009407493016414,0.33464142201905306,0.0
always_best,0.7000000000000001,137,0.0,0.6704088085951153,0.6841488918648975,0.08097030031763301,0.05665665893591354,0.3348608964662558,0.0
always_best,0.8,156,0.0,0.6740626965692925,0.6816078305155701,0.08566146800571929,0.05884411797698408,0.3489009520917872,0.0
always_best,0.9,176,0.005681818181818182,0.6622960493208597,0.6720117372820307,0.09726304501761375,0.061265295165334396,0.3289073928242229,0.0
always_best,1.0,195,0.005128205128205128,0.6666604708213365,0.6694302198974791,0.10047325754514189,0.06509630293768454,0.3314431603194366,0.0
random,0.1,20,0.0,0.646474131905358,0.6446874454899009,0.20281182882816115,0.15220974666006248,0.35617466779331397,0.8556319919792956
random,0.2,39,0.05128205128205128,0.5954709225094891,0.655294279318963,0.18593171313376766,0.13399476606775762,0.18194649240242053,0.7773171526377494
random,0.30000000000000004,59,0.03389830508474576,0.5985616126026925,0.6289286674417492,0.16766393191593293,0.1256900495913147,0.22755534539013988,0.6996865065789998
random,0.4,78,0.02564102564102564,0.5856369382184557,0.6052931897906783,0.16936827379282748,0.123331719207313,0.2307560581651062,0.5777792246203771
random,0.5,98,0.04081632653061224,0.5472638302864761,0.5535355026693853,0.2015337472114357,0.13459128509811047,0.16354999988793223,0.4782975600382584
random,0.6,117,0.042735042735042736,0.5578203113510045,0.5537873580469844,0.19289465530580308,0.13399476606775762,0.1500975214492718,0.3830202317883593
random,0.7000000000000001,137,0.043795620437956206,0.5556265305000068,0.5537873580469844,0.19007558594896976,0.1280943124811249,0.15710056944260023,0.29785960187300364
random,0.8,156,0.04487179487179487,0.5626315804679064,0.5614489202278848,0.19408065706591768,0.13170818569689652,0.1651395286532984,0.1977089875219863
random,0.9,176,0.03977272727272727,0.5768771736887294,0.5847257711784242,0.1932077439365843,0.13036170538698794,0.1744675997643825,0.11129244743922173
