policy,coverage,retained_tasks,failure_rate,mean_selection_gain_sd,median_selection_gain_sd,mean_selection_regret_sd,median_selection_regret_sd,worst_quintile_mean_gain_sd,confidence_threshold
uncalibrated,0.6,117,0.008547008547008548,0.6872246107266988,0.7186822116175953,0.07424197262860005,0.03534590732082199,0.34752940224865964,0.6168150912119994
uncalibrated,0.7000000000000001,137,0.0072992700729927005,0.6704195040005811,0.6908722650435279,0.08622614446416861,0.03534590732082199,0.3248510892508024,0.5850540053427887
uncalibrated,0.8,156,0.00641025641025641,0.6466635140964877,0.6589439346681809,0.0822254459892399,0.035922968738874184,0.30672491636143695,0.5503237677801772
uncalibrated,0.9,176,0.005681818181818182,0.6396850819226085,0.6338487399803272,0.08183138537338201,0.0388554358204492,0.3080932141905965,0.5004280955676818
uncalibrated,1.0,195,0.005128205128205128,0.6397095238550445,0.6346781431518891,0.08513229175548105,0.041713449831372595,0.3090328333396414,0.3788030037432786
elastic_net,0.1,20,0.0,0.6812518433237664,0.7359770117853284,0.0723360114039022,0.07958760036519363,0.2974220019660506,0.7130353000310137
elastic_net,0.2,39,0.0,0.6468350010839511,0.6849392766440433,0.10811092169986845,0.08368523324827482,0.3120719437320407,0.6775478564927421
elastic_net,0.30000000000000004,59,0.0,0.6503226226126779,0.6849392766440433,0.11192318259406124,0.08368523324827482,0.3259494924879734,0.6576933846550904
elastic_net,0.4,78,0.01282051282051282,0.6288736462088522,0.6517817602257876,0.13028609114612738,0.09355721064336517,0.3035737125047553,0.6342010940360042
elastic_net,0.5,98,0.01020408163265306,0.6255120977970274,0.6465082183777595,0.12149146967908611,0.08708511960770571,0.3186861049609326,0.6108110861968097
elastic_net,0.6,117,0.008547008547008548,0.6162591901203595,0.6348041110913067,0.12557625996250596,0.09264949802070938,0.31065400665812026,0.5927069351463295
elastic_net,0.7000000000000001,137,0.021897810218978103,0.6060325367996369,0.6409793493237597,0.15025819232847537,0.09288247691443235,0.2416530788793612,0.5669346235248882
elastic_net,0.8,156,0.019230769230769232,0.5980043332732302,0.621133883279787,0.14141532022703657,0.08455319995365346,0.247661828535344,0.5410746063016312
elastic_net,0.9,176,0.05113636363636364,0.5749266693023558,0.6022791707179154,0.1527715636799051,0.08336942819811888,0.17886238343273772,0.4698089508489301
elastic_net,1.0,195,0.05641025641025641,0.5572112686916537,0.5795607881992021,0.16763054691887183,0.09264949802070938,0.13587495926479795,0.09503532718092245
always_best,0.1,20,0.0,0.5776757409956105,0.5235688628203299,0.1271200285787056,0.0813851639842304,0.21944199666991068,0.0
always_best,0.2,39,0.0,0.5734725251524476,0.5444273349218336,0.1221218445672487,0.04487703666744747,0.24850902407462983,0.0
always_best,0.30000000000000004,59,0.0,0.5912847828144336,0.5583762330427523,0.11938932090205832,0.06882201145131694,0.2747208693898152,0.0
always_best,0.4,78,0.0,0.5757716838975028,0.5413081466605216,0.115320628595764,0.07542547170308347,0.2823549761754147,0.0
always_best,0.5,98,0.0,0.5927228463005577,0.5532276985223008,0.12032334863330418,0.07782578854511601,0.29207036959078264,0.0
always_best,0.6,117,0.0,0.6069888748818733,0.5739391667806554,0.11874219137898404,0.0813231689022906,0.3102047235991045,0.0
always_best,0.7000000000000001,137,0.0,0.5990413033485613,0.5648973194468099,0.1222835278955014,0.08151275484534865,0.31868249191368786,0.0
always_best,0.8,156,0.0,0.6051320301674469,0.593514217837408,0.12479931915362719,0.082582936018927,0.3277782695627607,0.0
always_best,0.9,176,0.0,0.5944856396064574,0.5798699655396358,0.1236401202234267,0.08649202893332936,0.31334772104320036,0.0
always_best,1.0,195,0.0,0.6045666461323685,0.5944204498614022,0.12027516947815695,0.08151275484534865,0.31994486745358447,0.0
random,0.1,20,0.15,0.41804016169870567,0.4412990174593749,0.35243980353927307,0.2858579238830825,-0.1015690945820272,0.902372030485908
random,0.2,39,0.1282051282051282,0.4602323363705367,0.4696349395627509,0.3115313727301086,0.2200452932495795,-0.0048318924431148685,0.8128827519959727
random,0.30000000000000004,59,0.15254237288135594,0.43074437443316743,0.4371895750531251,0.3230790314109975,0.2200452932495795,-0.037104988191317044,0.7189368687981313
random,0.4,78,0.14102564102564102,0.43536143398864735,0.4330334170906741,0.31520560670430026,0.21861045079417338,-0.020069090212184965,0.6316882845435767
random,0.5,98,0.12244897959183673,0.4353576106039476,0.4330334170906741,0.31193219355846413,0.23569857620984072,-0.003145579603621107,0.49910277620001886
random,0.6,117,0.11965811965811966,0.44165147833197516,0.4371895750531251,0.297233266968144,0.21717560833876726,0.005268337495263985,0.3908196097352402
