protocol_id,panel_id,dataset_id,assay_id,target_id,protein_id,family_id,model_id,aligned_variants,spearman,top_fraction,top_recall,ndcg,selected_target_mean,selection_gain_sd,best_variant_regret_sd
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,SGCB,pfam:PF04790,esm2_650m,5980,0.2577093112236534,0.1,0.06856187290969899,0.9275968466855443,0.017217373607023412,0.3533959333829432,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,SGCB,pfam:PF04790,esm2_8m,5980,0.03662515796032937,0.1,0.10033444816053512,0.9129308877063349,-0.19795371130434783,0.03609230617894104,0.25069175371262753
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,SGCB,pfam:PF04790,vespag,5980,0.29685070677672803,0.1,0.07190635451505016,0.9345244637788588,0.04191637026254179,0.38981849095067395,0.25069175371262753
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,TP53,confirmation-family-a338d5377fcc,carp_640m,7446,0.4817779501594544,0.1,0.10335570469798658,0.9389654313223257,0.15667241505047033,0.41191303204654545,2.4119706380246164
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,TP53,confirmation-family-a338d5377fcc,esm2_150m,7446,0.3524396576454639,0.1,0.13557046979865772,0.9323898465708178,0.12856480481212265,0.3373358221148394,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,TP53,confirmation-family-a338d5377fcc,esm2_35m,7446,-0.1591588242678391,0.1,0.12483221476510067,0.9147589475127776,0.015809374151279053,0.03816469543324286,2.750303909236556
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,TP53,confirmation-family-a338d5377fcc,esm2_650m,7446,0.38298675714571634,0.1,0.1087248322147651,0.9342144013138299,0.1388468158670332,0.3646168214762161,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,TP53,confirmation-family-a338d5377fcc,esm2_8m,7446,-0.1758254590328924,0.1,0.12751677852348994,0.9142647508680232,0.0005390026749122065,-0.002351794217465068,2.750303909236556
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,TP53,confirmation-family-a338d5377fcc,vespag,7446,0.5520676827727108,0.1,0.16241610738255033,0.951998046676597,0.23003498454521568,0.6065640785049377,1.6641222813138394
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,carp_640m,2709,0.566687697930168,0.1,0.19557195571955718,0.9558744041664057,-0.055205171642066425,0.928964686523305,2.0540871935202696
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_150m,2709,0.3680951624632771,0.1,0.16236162361623616,0.9255428347029546,-0.5022935290664207,0.4668232535032043,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_35m,2709,0.36800694589926314,0.1,0.15498154981549817,0.9185178144328777,-0.6973225774723246,0.2652277469011321,0.5369710056012963
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_650m,2709,0.5620636723206718,0.1,0.15129151291512916,0.9446599436047228,-0.26771187815867153,0.7093030642843892,1.483028621599866
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_8m,2709,0.23846235370248117,0.1,0.12546125461254612,0.9059871839795078,-0.8606906754206641,0.09635918738292103,1.1026914837658286
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,vespag,2709,0.5887637917340617,0.1,0.17343173431734318,0.9534716005007414,-0.15678472107749078,0.8239650421307178,2.53039754232105
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,carp_640m,2693,0.47864580635978665,0.1,0.08148148148148149,0.9378348099961401,-0.0219130933,0.7092914104388841,1.2914723053951482
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_150m,2693,0.2983663359555397,0.1,0.07777777777777778,0.90880200496967,-0.43761029165555554,0.2439233217872434,1.0742204737414984
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_35m,2693,0.29155191110445894,0.1,0.09259259259259259,0.9087737245533803,-0.4797359285851852,0.196764170321404,0.8340117899966158
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_650m,2693,0.4886482270043599,0.1,0.1,0.9262645386421002,-0.18980756688518519,0.5213355363637304,0.8340117899966158
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_8m,2693,0.22168349894343456,0.1,0.1037037037037037,0.9097629005044091,-0.5030145480777778,0.1707040315892425,0.8340117899966158
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,vespag,2693,0.5355834635671494,0.1,0.12962962962962962,0.937895920900751,-0.06160186198148148,0.664860304106432,1.0742204737414984
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,carp_640m,2710,0.5606233361695472,0.1,0.13653136531365315,0.9536609737444689,-0.0052636273357933566,0.6917880848681863,0.9583036870514325
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_150m,2710,0.5003329554699057,0.1,0.2029520295202952,0.9504945160062451,0.03818662871217712,0.7487022676999185,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_35m,2710,0.5000751127937352,0.1,0.2029520295202952,0.9435431604964682,-0.05891710239852399,0.6215090124984697,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_650m,2710,0.6336064458938607,0.1,0.1881918819188192,0.9590931351749974,0.07858749063468634,0.801622140933316,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_8m,2710,0.35162995015639803,0.1,0.14391143911439114,0.9232981544463149,-0.2599461037785978,0.35818717323486715,0.2966758028236106
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,vespag,2710,0.6279848885318565,0.1,0.13653136531365315,0.9526866342689395,-0.01086485636531365,0.6844512035223878,0.9583036870514325
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,carp_640m,2687,0.5661636229795995,0.1,0.1412639405204461,0.9535960917264015,-0.013618946386617094,0.7519727457748989,1.437863476866295
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_150m,2687,0.49489785049472723,0.1,0.1821561338289963,0.9474408261206395,-0.08080226385873607,0.66767985241682,0.22613194931641425
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_35m,2687,0.49462491249179,0.1,0.17843866171003717,0.9411676881572809,-0.1624692107063197,0.5652147836985318,0.22613194931641425
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_650m,2687,0.6275434665263975,0.1,0.18587360594795538,0.9573939235180751,0.03299961278066915,0.8104636537004585,0.22613194931641425
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,esm2_8m,2687,0.34676350769187464,0.1,0.14869888475836432,0.9215574852550342,-0.3393830107137546,0.3432463451231683,0.22613194931641425
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,PAX6,clan:CL0123,vespag,2687,0.6224497776161243,0.1,0.13011152416356878,0.9513811023354942,-0.04385833927509293,0.7140322865080704,1.142112207528748
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,carp_640m,4085,0.31421318245403007,0.1,0.08068459657701711,0.9211891428038872,0.9433418092909537,0.2375639728769991,5.8291154886032945
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_150m,4085,0.3015866667459049,0.1,0.1271393643031785,0.9179761519171507,0.9344337408312958,0.22005211538619573,0.633197794037205
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_35m,4085,0.257207730929848,0.1,0.1198044009779951,0.9148497379768453,0.9066643031784841,0.1654617811315727,4.317775954123929
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_650m,4085,0.35621305659815666,0.1,0.07823960880195599,0.9248474835212994,0.9369616136919316,0.2250215146999527,5.113745487826706
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_8m,4085,0.2061972976098225,0.1,0.13691931540342298,0.9174955325156978,0.9236110024449877,0.19877631882720143,2.8701297090789186
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,vespag,4085,0.3166106682951163,0.1,0.10757946210268948,0.9253374187158868,0.9782586797066014,0.3062050325537178,6.237420927353768
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,carp_640m,3319,0.15562813188441585,0.1,0.0963855421686747,0.9090235653641225,0.32959307228915663,0.15681617442559034,2.8469370736698285
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_150m,3319,0.08306009240676888,0.1,0.1144578313253012,0.9155582066515268,0.1610822289156625,0.13297841046223247,0.4437499705043873
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_35m,3319,0.06372074846594213,0.1,0.10240963855421686,0.910564434284423,-0.6386117469879518,0.01985265630374332,0.4437499705043873
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_650m,3319,0.13452441268858803,0.1,0.09036144578313253,0.9058030865114431,0.18951054216867466,0.1369999167797796,2.1637072583929347
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,esm2_8m,3319,0.06302922084222597,0.1,0.12349397590361445,0.9069875643227807,-0.010751506024096401,0.10867058591851841,0.4437499705043873
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,KCNQ4,multi:ccc96e2bc405,vespag,3319,0.06639019726419376,0.1,0.0783132530120482,0.9035672794915668,-0.05520030120481933,0.1023828013061937,2.872272793558042
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,TP53,multi:953b39a86f5e,carp_640m,2314,0.5498033014206952,0.1,0.1336206896551724,0.9347219135545967,95.47500000000001,0.5068589333018377,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,TP53,multi:953b39a86f5e,esm2_150m,2314,0.38685669426804076,0.1,0.13793103448275862,0.924853626445955,88.25,0.3484686844689376,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,TP53,multi:953b39a86f5e,esm2_35m,2314,-0.06737453875583543,0.1,0.11206896551724138,0.9003052754446615,76.42025862068965,0.0891308739917308,0.403374474536382
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,TP53,multi:953b39a86f5e,esm2_650m,2314,0.5213452539711573,0.1,0.15517241379310345,0.9379537615986079,93.23362068965517,0.45772223756558406,0.9032080625488554
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,TP53,multi:953b39a86f5e,esm2_8m,2314,-0.09822833208497705,0.1,0.11637931034482758,0.899216492057989,75.9926724137931,0.07975710434358405,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,TP53,multi:953b39a86f5e,vespag,2314,0.5718120840010246,0.1,0.15948275862068967,0.9447138202844996,102.4844827586207,0.6605244998524057,1.4907317537214113
